Offense,Race,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
All crimes,White,6051.4,5818.5,5995.3,5563.0,5657.5,6022.9,6255.5,6268.5,6615.4,6599.1,6567.2,6724.1,6438.8,6563.9,7183.3,7247.4,7649.3,7426.7,6784.5,6213.2,5993.6,5665.1,5732.0,5521.3,5420.8,5197.8,5371.8,5270.3,5123.6,4644.3,4242.9,3786.9,3362.3,2712.4,2559.8,2302.3
Violent Crime,White,172.5,165.5,168.5,156.7,156.5,169.3,175.1,167.9,192.5,225.6,247.6,272.8,279.5,288.7,307.3,302.8,284.3,265.0,247.1,226.4,210.3,203.9,190.3,181.1,177.6,175.2,180.0,175.3,172.4,155.6,140.6,125.5,111.1,n/a,n/a,n/a
Murder and nonnegligent manslaughter,White,4.0,3.9,3.6,3.2,3.0,3.2,3.6,3.5,4.5,4.7,5.7,6.0,5.8,5.8,6.1,5.4,4.6,4.0,3.9,2.5,2.1,2.1,2.3,2.2,1.9,2.0,1.9,2.1,1.9,1.8,1.7,1.5,1.3,1.3,1.2,1.2
Forcible rape,White,7.9,7.8,8.6,8.9,10.8,11.8,11.5,11.1,12.3,14.1,14.0,15.8,14.7,15.2,14.3,12.7,13.1,12.6,12.6,11.9,10.8,10.5,11.0,9.9,10.1,9.7,8.8,8.5,8.0,7.8,7.0,7.0,6.4,n/a,n/a,n/a
Robbery,White,58.5,55.2,54.2,48.1,44.6,48.0,47.6,43.4,48.5,58.0,64.2,74.6,75.4,76.9,85.5,86.7,81.3,64.3,54.9,45.8,41.7,38.3,35.0,33.1,32.8,33.3,40.6,40.0,42.0,38.1,33.2,28.0,24.6,20.7,21.2,21.8
Aggravated assault,White,102.1,98.6,102.1,96.5,98.1,106.3,112.5,109.9,127.2,148.8,163.8,176.5,183.6,190.7,201.5,198.1,185.3,184.2,175.7,166.2,155.7,152.9,142.0,135.8,132.8,130.2,128.8,124.7,120.5,107.8,98.7,89.0,78.8,66.3,66.0,63.3
Property Crime Index,White,2123.9,2045.2,2037.7,1946.1,1950.8,2090.1,2145.4,2211.1,2327.9,2345.0,2316.7,2357.7,2215.0,2110.1,2214.4,2143.1,2095.7,1990.5,1673.6,1444.4,1392.5,1296.6,1253.8,1193.5,1163.5,1063.9,1018.8,1042.6,1089.8,1037.1,914.0,819.0,710.5,581.6,554.0,490.2
Burglary,White,664.8,639.9,620.5,562.4,523.4,559.5,541.8,529.7,527.0,524.2,494.3,507.5,481.3,450.0,454.0,420.7,417.4,387.7,341.4,281.4,270.5,251.4,235.4,226.7,215.3,199.3,211.4,204.0,203.4,177.2,157.1,145.4,124.7,98.5,90.1,79.0
Larceny-theft,White,1251.3,1224.2,1249.9,1231.3,1267.6,1347.6,1404.3,1469.3,1548.6,1545.7,1546.9,1576.5,1477.9,1414.6,1506.9,1492.2,1468.3,1409.7,1170.1,1020.6,983.8,909.2,895.2,847.1,841.0,764.0,712.0,756.5,816.7,802.0,709.6,629.2,543.8,447.5,429.1,374.5
Motor vehicle theft,White,178.7,151.9,141.6,126.3,131.3,153.3,171.1,184.8,221.0,244.2,244.9,238.9,220.8,212.0,214.2,195.3,176.7,159.2,133.4,114.0,112.0,105.6,98.1,94.8,84.2,76.5,71.0,61.1,50.3,41.9,33.8,30.4,29.7,24.9,25.8,28.8
Arson,White,29.1,29.3,25.8,26.1,28.5,29.6,28.1,27.3,31.4,31.0,30.6,34.8,35.1,33.4,39.3,34.9,33.3,33.9,28.8,28.4,26.3,30.3,25.0,24.9,22.9,24.0,24.3,21.0,19.4,15.9,13.4,13.9,12.4,10.7,9.0,7.9
Other assaults,White,229.5,221.5,230.9,233.1,223.6,266.7,287.8,312.7,350.6,390.9,422.9,445.7,460.1,494.9,559.7,560.8,609.6,629.8,620.2,593.2,592.0,588.5,564.2,556.0,571.4,557.4,563.2,542.8,528.1,502.9,491.5,444.3,400.1,331.7,314.9,304.7
Vandalism,White,423.9,392.3,376.2,379.0,393.5,416.8,405.5,420.5,441.3,456.2,489.3,523.1,519.0,498.8,524.2,463.2,469.1,447.7,410.0,372.6,361.7,326.7,323.0,321.6,311.1,309.0,351.9,334.4,325.0,276.2,234.6,202.7,177.0,136.8,129.9,116.3
"Weapons carrying, possessing",White,73.9,75.2,75.6,71.4,78.2,90.0,89.1,85.1,99.3,105.8,111.8,130.8,142.2,161.9,167.0,149.6,139.0,136.5,117.6,108.2,93.4,93.1,88.5,96.4,98.7,103.9,109.3,100.9,92.7,79.9,75.9,67.3,58.7,48.1,47.6,43.3
Drug abuse violations,White,368.7,303.4,304.5,261.3,281.4,312.0,257.3,258.0,273.8,270.9,187.5,168.4,194.3,266.6,413.9,507.1,554.4,572.3,531.9,516.3,539.8,554.6,511.1,539.1,520.3,506.4,514.5,517.0,492.0,479.9,492.7,433.3,408.2,338.2,332.2,295.2
Driving under the influence,White,123.9,118.7,129.3,121.7,104.1,102.1,120.3,105.3,105.9,89.5,88.7,78.5,60.6,53.7,53.5,57.3,68.5,72.9,76.5,81.6,77.1,74.8,77.3,74.3,70.2,63.5,70.9,64.3,56.6,48.1,42.8,36.3,34.0,27.4,25.1,23.3
Liquor laws,White,576.9,560.6,581.3,536.2,545.7,580.4,694.6,692.7,732.1,668.6,673.2,600.7,485.3,455.3,472.1,480.3,594.5,505.1,491.8,492.1,464.2,380.8,510.4,465.6,437.1,433.2,483.4,483.9,451.0,383.6,327.1,306.8,271.0,211.2,186.8,150.3
Drunkenness,White,163.6,148.4,158.6,129.2,124.1,113.4,130.5,101.3,100.8,89.8,99.2,88.4,73.4,64.4,68.6,75.2,85.7,87.8,89.6,74.0,77.1,71.5,64.2,58.3,56.4,53.5,55.4,57.8,53.3,47.6,43.9,39.1,34.2,25.1,22.1,18.0
Disorderly conduct,White,379.2,338.4,363.4,319.3,289.9,302.8,317.3,324.8,357.8,364.2,369.0,391.9,389.5,405.7,476.2,467.6,570.6,572.3,484.8,433.7,409.9,397.3,471.5,455.9,462.7,454.4,463.6,447.7,419.2,376.6,351.6,312.6,262.4,201.4,172.7,155.6
Curfew and loitering law violations,White,226.0,273.3,262.1,224.2,267.9,266.5,294.1,294.0,239.5,266.0,281.5,325.0,308.4,341.3,414.9,476.3,554.5,517.5,545.4,485.5,441.7,396.0,370.3,350.5,344.1,331.7,356.4,350.4,327.0,266.4,219.4,185.0,158.2,117.3,109.5,93.8
Runaways,White,507.3,486.6,484.2,466.7,543.1,599.4,620.6,604.6,628.9,605.4,644.0,638.8,632.8,613.8,818.8,806.7,630.4,620.7,519.8,458.8,430.7,393.8,364.0,346.2,331.1,293.3,299.8,280.7,280.4,237.5,n/a,n/a,n/a,n/a,n/a,n/a
All crimes,Black,9912.8,11152.4,11731.9,10653.4,10453.3,10835.2,11388.0,11784.8,12966.0,13765.0,12949.5,13578.9,13826.6,14376.1,15279.6,15354.7,14838.5,14270.6,12673.6,11293.2,10738.6,10573.3,10255.7,10287.3,10278.0,10745.4,10954.2,10920.5,10755.2,10096.3,9137.1,8374.1,7814.2,6821.8,6484.6,5740.6
Violent Crime,Black,1040.0,1092.5,1044.8,1014.9,1015.2,1036.9,1076.3,1058.9,1164.1,1337.6,1373.2,1391.9,1456.9,1531.0,1600.1,1552.4,1291.2,1137.3,984.8,871.7,817.3,790.6,738.4,747.1,738.7,823.3,875.2,842.4,861.9,780.3,683.9,627.0,574.5,n/a,n/a,n/a
Murder and nonnegligent manslaughter,Black,17.2,22.7,20.2,16.2,14.3,17.9,19.4,23.1,31.4,38.7,43.9,44.7,42.5,51.5,46.4,39.8,32.4,27.0,19.8,14.3,11.5,11.6,12.3,11.4,10.0,11.9,13.0,13.2,12.9,12.0,10.1,8.1,6.9,7.5,7.9,8.7
Forcible rape,Black,56.1,60.0,61.0,63.1,69.6,68.1,74.0,74.3,66.7,68.4,64.5,64.5,63.5,60.4,53.4,52.6,47.8,45.8,40.7,32.2,30.4,32.3,30.8,25.9,25.7,23.8,21.0,22.4,20.8,18.4,18.2,17.7,15.4,n/a,n/a,n/a
Robbery,Black,656.1,681.6,621.8,601.2,568.5,550.2,533.3,494.8,502.5,589.0,602.0,631.5,630.0,672.2,727.4,711.6,594.5,472.5,389.9,339.4,308.0,297.2,268.8,284.8,283.7,341.4,406.7,403.5,416.9,377.6,325.2,292.5,269.7,250.5,253.5,233.1
Aggravated assault,Black,310.7,328.2,341.9,334.4,362.8,400.7,449.7,466.7,563.5,641.5,662.8,651.2,720.9,746.9,772.8,748.3,616.5,591.9,534.4,485.8,467.4,449.5,426.5,425.1,419.4,446.3,434.6,403.4,411.1,372.3,330.4,308.6,282.4,244.9,234.3,218.0
Property Crime Index,Black,4385.2,4392.1,4453.5,4164.5,4045.9,4183.5,4306.5,4282.9,4549.3,4499.5,4265.3,4242.9,4116.5,4119.9,4421.2,4215.5,3812.6,3714.7,3115.9,2813.2,2712.4,2580.2,2407.6,2311.4,2238.0,2159.3,2121.1,2279.1,2486.7,2448.9,2165.1,2088.2,1924.2,1680.7,1617.0,1445.2
